topic_numbers,passes,Perplexity
10.0,46,72462.86116076897
10.0,47,72371.23096826398
10.0,48,72205.66533327232
10.0,49,71934.26252054956
10.0,50,71714.9048254322
11.0,1,41907191.45727697
11.0,2,35623861.241865255
11.0,3,29467883.939198576
11.0,4,22776947.488947004
11.0,5,16007091.378299633
11.0,6,10387687.293121321
11.0,7,6377166.880715476
11.0,8,3878987.1814569216
11.0,9,2453252.8410661984
11.0,10,1619897.005011074
11.0,11,1127411.4957961855
11.0,12,828321.0708738819
11.0,13,637482.6497580155
11.0,14,513113.9879037994
11.0,15,429737.53196664446
11.0,16,371150.18039786885
11.0,17,327062.46800028207
11.0,18,295564.1270960509
11.0,19,270712.0939020864
11.0,20,250762.03110057005
11.0,21,234877.81402307152
11.0,22,221951.92853573314
11.0,23,211051.2611501303
11.0,24,201654.74815459084
11.0,25,193933.04995490305
11.0,26,187030.21272615207
11.0,27,181201.69337057418
11.0,28,176021.01431570482
11.0,29,171281.09228017603
11.0,30,166680.20895938727
11.0,31,163078.0400804848
11.0,32,159420.86321921507
11.0,33,155935.05090100778
11.0,34,152506.2081637355
11.0,35,149652.04749074014
11.0,36,146706.66202332903
11.0,37,144055.28870470394
11.0,38,141481.20661443062
11.0,39,139359.20419062584
11.0,40,137063.0905000536
11.0,41,135148.51850676042
11.0,42,133045.89436456148
11.0,43,130979.91968239482
11.0,44,129181.72545086281
11.0,45,127404.85602551718
11.0,46,125604.54232017609
11.0,47,123994.37634636945
11.0,48,122459.1188169028
11.0,49,120947.52419084012
11.0,50,119409.29313488878
12.0,1,110731931.40259954
12.0,2,91581318.55112995
12.0,3,74404341.84533101
12.0,4,56320535.95791169
12.0,5,37549341.02748417
12.0,6,21956114.081994954
12.0,7,11703855.932969688
12.0,8,6165725.62970539
12.0,9,3383048.7316518887
12.0,10,1998261.7658653224
12.0,11,1262044.8824259206
12.0,12,865624.1743250054
12.0,13,629906.7603386545
12.0,14,487758.886243564
12.0,15,396272.24118567095
12.0,16,334140.2829542487
12.0,17,291629.36171933817
12.0,18,261508.31125377084
12.0,19,238347.40705182607
12.0,20,221495.9599435741
12.0,21,208875.1863964982
12.0,22,198344.41287389307
12.0,23,190852.43082805083
12.0,24,184596.8763888629
12.0,25,179051.53053668584
12.0,26,174453.8619222482
12.0,27,171078.3431217208
12.0,28,168368.51630585914
12.0,29,165776.65154387202
12.0,30,163474.493536457
12.0,31,161425.66735223104
12.0,32,160058.79267124
12.0,33,158310.3305933945
12.0,34,157172.1592737838
12.0,35,156034.92098922798
12.0,36,154687.33550560975
12.0,37,153588.91599544307
12.0,38,153196.41678728195
12.0,39,151722.63841597777
12.0,40,151355.34220249866
12.0,41,150079.85420572548
12.0,42,149327.1045657422
12.0,43,149002.52117538388
12.0,44,148865.5991514421
12.0,45,147997.80493689526
12.0,46,147423.62937220774
12.0,47,147023.50489718554
12.0,48,147177.64931695806
12.0,49,146468.44110113685
12.0,50,145770.92589035424
13.0,1,283030229.38027126
13.0,2,228715875.17030734
13.0,3,183513984.42509606
13.0,4,142835736.78689638
13.0,5,103004304.18711053
13.0,6,67014442.67856545
13.0,7,39432926.104928605
13.0,8,21961209.318031758
13.0,9,12086010.7455166
13.0,10,6888468.334216334
13.0,11,4121043.6019282523
13.0,12,2626112.0577592645
13.0,13,1779557.0345785336
13.0,14,1275330.091988301
13.0,15,963063.8277897896
13.0,16,755605.6490987204
13.0,17,615828.1872854833
13.0,18,520261.8669560143
13.0,19,450759.1144042026
13.0,20,398770.55342357425
13.0,21,362914.4242695615
13.0,22,332029.8801114214
13.0,23,308737.7374153914
13.0,24,291343.42973633314
13.0,25,275882.0363537454
13.0,26,264018.49474186805
13.0,27,253812.44480547903
13.0,28,246162.17525854558
13.0,29,239491.61440118146
13.0,30,233142.07345314982
13.0,31,228348.56236465712
13.0,32,224244.91921503964
13.0,33,220644.07033466903
13.0,34,218287.24661543997
13.0,35,214969.27120391393
13.0,36,212762.96293909303
13.0,37,210655.77575524367
13.0,38,207997.24595736817
13.0,39,206852.74935412337
13.0,40,205286.29912411093
13.0,41,203451.3300404958
13.0,42,202082.79811595115
13.0,43,201403.6936061165
13.0,44,199496.81648203742
13.0,45,198360.09355826268
13.0,46,197531.15277904135
13.0,47,197110.38866130603
13.0,48,195835.6290695386
13.0,49,195522.02293692148
13.0,50,194957.03495645753
14.0,1,684317219.1117059
14.0,2,458684968.61357296
14.0,3,271558280.44251573
14.0,4,136179823.6282131
14.0,5,60645935.03212062
14.0,6,27087740.249825254
14.0,7,12793023.455013724
14.0,8,6657015.451025796
14.0,9,3855523.0111926035
14.0,10,2458296.7536433954
14.0,11,1694298.855531807
14.0,12,1255488.3817090283
14.0,13,977475.3220695816
14.0,14,793530.6273344347
14.0,15,665762.0063672944
14.0,16,577765.0037319073
14.0,17,508987.168853729
14.0,18,455401.61996736674
14.0,19,413812.7536717895
14.0,20,379537.12124594324
14.0,21,352194.9428689448
14.0,22,329194.89855503815
14.0,23,309508.20791424386
14.0,24,293377.9115423667
14.0,25,278977.5147169433
14.0,26,266474.0885105781
14.0,27,254920.6431748982
14.0,28,245087.73675701887
14.0,29,236903.82444491106
14.0,30,229410.09393509253
14.0,31,222391.57428026717
14.0,32,216779.08390058335
14.0,33,211968.4419995175
14.0,34,207351.86299931526
14.0,35,202869.24076920442
14.0,36,199710.3742236279
14.0,37,196288.27159714125
14.0,38,193511.68647305437
14.0,39,190969.10340183575
14.0,40,188665.13894676813
14.0,41,186652.4747878601
14.0,42,184981.23309733823
14.0,43,183483.5042242935
14.0,44,181864.78057320832
14.0,45,180506.63410460862
14.0,46,179113.15767077584
14.0,47,178095.64894272227
14.0,48,177249.74638163857
14.0,49,176415.94616354053
14.0,50,175481.81371484182
15.0,1,1828067813.537395
15.0,2,1319873611.31604
15.0,3,909201140.2144171
15.0,4,579640604.7395622
15.0,5,321943627.7640401
15.0,6,158819029.369639
15.0,7,73811668.95626147
15.0,8,34787299.26863194
15.0,9,17312934.63938677
15.0,10,9328468.751124583
15.0,11,5451746.916765755
15.0,12,3459253.8961108048
15.0,13,2381424.306338099
15.0,14,1723979.7574280188
15.0,15,1332903.5593057037
15.0,16,1070619.4440870327
15.0,17,890960.486616352
15.0,18,765115.5256936866
15.0,19,670485.117857515
15.0,20,604121.5739304551
15.0,21,551503.265754265
15.0,22,512100.4176869729
15.0,23,476653.2847042697
15.0,24,451755.145772151
15.0,25,429928.092182748
15.0,26,409986.6008962458
15.0,27,393798.0232252125
15.0,28,380655.10251754866
15.0,29,367902.2458070958
15.0,30,357663.9021855876
15.0,31,347351.3574686899
15.0,32,340207.46781481314
15.0,33,333671.48556838225
15.0,34,327740.05589568586
15.0,35,322342.4396211212
15.0,36,317600.8089844332
15.0,37,312844.3140787192
15.0,38,307722.3165799161
15.0,39,305404.39246055385
15.0,40,301608.2083859227
15.0,41,298072.53678552294
15.0,42,294891.23676990415
15.0,43,291958.20141335035
15.0,44,289739.0261353367
15.0,45,287704.3609962878
15.0,46,284866.2298660146
15.0,47,283094.92765894724
15.0,48,282022.2299375302
15.0,49,279883.65732111793
15.0,50,277635.9589807015
16.0,1,4607485385.246779
16.0,2,3192987877.1460433
16.0,3,2198863722.14056
16.0,4,1420946452.074796
16.0,5,861867781.5177538
16.0,6,464468901.2776104
16.0,7,233654175.81457
16.0,8,114006342.2178108
16.0,9,56965334.36681826
16.0,10,30322576.67321407
16.0,11,17385601.651431248
16.0,12,10597709.258188663
16.0,13,7000993.495158531
16.0,14,4926113.235321031
16.0,15,3644154.3023346933
16.0,16,2841664.165954072
16.0,17,2280513.565077655
16.0,18,1896567.090805147
16.0,19,1621795.693576465
16.0,20,1424304.0916427884
16.0,21,1260819.1879683686
16.0,22,1149794.3221687155
16.0,23,1050537.2767549627
16.0,24,976273.66843194
16.0,25,906470.8847964088
16.0,26,850363.3216490982
16.0,27,804161.7501177532
16.0,28,764421.2817358067
16.0,29,727773.6341957188
16.0,30,699691.7645132516
16.0,31,673577.8192562986
16.0,32,649902.1578077177
16.0,33,630841.2970913675
16.0,34,610455.3768692203
16.0,35,595838.5337472169
16.0,36,579505.1684073706
16.0,37,565600.3404724721
16.0,38,554241.2842360657
16.0,39,543823.7228816669
16.0,40,532714.8308916407
16.0,41,521736.9456143915
16.0,42,514357.5348916558
16.0,43,507258.05784794904
16.0,44,498724.95273179363
16.0,45,492202.6682815686
16.0,46,485650.3007283892
16.0,47,480708.2679534545
16.0,48,474261.63307599444
16.0,49,468540.84979627066
16.0,50,463058.59397021687
17.0,1,11617322485.960253
17.0,2,7967647153.252788
17.0,3,5262340638.841559
17.0,4,3137005264.3853774
17.0,5,1574867443.608294
17.0,6,717003835.0205333
17.0,7,311432048.5992596
17.0,8,138914852.09655458
17.0,9,65438471.57295343
17.0,10,33920342.48183419
17.0,11,19372848.228837557
17.0,12,11990648.278309414
17.0,13,8085651.030924742
17.0,14,5797385.765440988
17.0,15,4366589.778301508
17.0,16,3470738.3968763785
17.0,17,2857305.5569612687
17.0,18,2411875.1387338727
17.0,19,2098107.7568083117
17.0,20,1859928.7001166297
17.0,21,1700133.9117066374
17.0,22,1547027.6523191433
17.0,23,1437598.6119664125
17.0,24,1356644.976099077
17.0,25,1275827.819804249
17.0,26,1217342.814844907
17.0,27,1163054.1892418684
17.0,28,1123084.9537131952
17.0,29,1082631.2153381493
17.0,30,1053974.346097167
17.0,31,1018775.3797306498
17.0,32,1005093.0150393519
17.0,33,967160.1170211487
17.0,34,946006.3292428358
17.0,35,932870.7985389056
17.0,36,915541.5397090608
17.0,37,899504.3640315771
17.0,38,877873.6045737928
17.0,39,870967.0883779577
17.0,40,857621.867543398
17.0,41,853202.2567985613
17.0,42,837254.6573566182
17.0,43,826843.7450727612
17.0,44,819786.0727699506
17.0,45,812760.4244479339
17.0,46,801430.0810195581
17.0,47,792039.4308112296
17.0,48,789591.1965484606
17.0,49,783640.6494740342
17.0,50,777646.7733438637
18.0,1,26939875508.683926
18.0,2,15601955013.897736
18.0,3,7865031986.914427
18.0,4,3131802910.3119607
18.0,5,1092509404.342389
18.0,6,367004031.41715485
18.0,7,134180252.27790865
18.0,8,55535914.68915946
18.0,9,26209928.99011937
18.0,10,14144018.529028047
18.0,11,8423857.587134995
18.0,12,5526268.7101507
18.0,13,3929619.485786631
18.0,14,2973512.898966562
18.0,15,2379855.1853890354
18.0,16,1956171.1737790015
18.0,17,1673027.4912612813
18.0,18,1462476.838821647
18.0,19,1312848.1873811786
18.0,20,1194336.6688002446
18.0,21,1097956.2431729052
18.0,22,1019690.3061911245
18.0,23,962865.795882293
18.0,24,914995.4276672816
18.0,25,868642.7140450323
18.0,26,834081.0696532325
18.0,27,810399.4062853376
18.0,28,783193.3158427424
18.0,29,758355.2519496826
18.0,30,737868.0862256782
18.0,31,720801.4353442007
18.0,32,703888.2159952717
18.0,33,691925.2810013385
18.0,34,680499.5294672641
18.0,35,664532.7875611039
18.0,36,658636.0735629835
18.0,37,644996.1378994692
18.0,38,636985.7174209494
18.0,39,626418.4209678766
18.0,40,620019.0811307987
18.0,41,611544.041262464
18.0,42,607097.6031382417
18.0,43,602068.8248832707
18.0,44,593990.1705074279
18.0,45,586631.0950653502
18.0,46,580491.642363957
18.0,47,577149.0137985831
18.0,48,570938.3809089606
18.0,49,565341.6997319388
18.0,50,562813.256522328
19.0,1,73404249612.61496
19.0,2,44828447302.01838
19.0,3,28020745210.834
19.0,4,15576951663.760782
19.0,5,7653168443.351345
19.0,6,3308393509.783545
19.0,7,1368834056.5869546
19.0,8,582672301.5303236
19.0,9,267514590.3835673
19.0,10,135713643.17961392
19.0,11,76542339.29533601
19.0,12,47218705.67890008
19.0,13,31181773.316396076
19.0,14,21864165.786429893
19.0,15,16354206.024813442
19.0,16,12812159.544244474
19.0,17,10511629.278620422
19.0,18,8885953.407343263
19.0,19,7754714.645541617
19.0,20,6932437.622445431
19.0,21,6276600.828645191
19.0,22,5766789.170065592
19.0,23,5401350.233011433
19.0,24,5054828.3729341505
19.0,25,4790046.793086726
19.0,26,4563528.230436062
19.0,27,4377996.365883713
19.0,28,4217096.786975176
19.0,29,4064159.2688725
19.0,30,3950777.3873529877
19.0,31,3840346.8769144285
19.0,32,3775315.5925692962
19.0,33,3668234.3252518247
19.0,34,3581630.837918401
19.0,35,3503181.8153103758
19.0,36,3445229.516546182
19.0,37,3379550.4305341206
19.0,38,3320502.539790669
19.0,39,3254569.48826445
19.0,40,3203474.8845183398
19.0,41,3154671.163485723
19.0,42,3124069.0113380468
19.0,43,3060601.31582833
19.0,44,3034069.9251216645
19.0,45,2993662.8013982885
19.0,46,2954161.7048322386
19.0,47,2924118.1760535114
19.0,48,2887785.0916674505
19.0,49,2854269.341288184
19.0,50,2831357.776621566
20.0,1,174442247518.37094
20.0,2,102476256342.46948
20.0,3,57610181714.17014
20.0,4,28915459568.639153
20.0,5,11695510191.356148
20.0,6,4068020774.883137
20.0,7,1392540719.6318336
20.0,8,515295156.2941079
20.0,9,216284354.04360378
20.0,10,101950834.29538861
20.0,11,54661201.70918215
20.0,12,32460950.024188828
20.0,13,21359365.953159187
20.0,14,15033717.5189366
20.0,15,11341009.62359741
20.0,16,8992213.138753785
20.0,17,7442519.196342144
20.0,18,6382029.971182493
20.0,19,5548618.719175396
20.0,20,4992835.608288883
20.0,21,4515654.8164554415
20.0,22,4148116.9119072
20.0,23,3852512.9141650083
20.0,24,3594529.703966193
20.0,25,3396123.0599425873
20.0,26,3208840.508339428
20.0,27,3053176.269687889
20.0,28,2900956.980988175
20.0,29,2813452.83417562
20.0,30,2706305.3402863457
20.0,31,2586890.6187763605
20.0,32,2521706.7297000065
20.0,33,2432356.3638196476
20.0,34,2356072.3415180426
20.0,35,2276615.3221758897
20.0,36,2224655.5046592625
20.0,37,2166240.3026910974
20.0,38,2102114.826938557
20.0,39,2059440.6780964811
20.0,40,2021757.8948701376
20.0,41,1958238.0407940007
20.0,42,1927189.6981678263
20.0,43,1880396.8389174389
20.0,44,1845692.1441300013
20.0,45,1812668.1011345873
20.0,46,1774700.5352275504
20.0,47,1750753.2613511984
20.0,48,1723539.68549307
20.0,49,1698745.7615609684
20.0,50,1662976.81252361
